City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,segou,13.4317,-6.2157,91.13,6,0,9.64,ML,1679164483
329,myitkyina,25.3833,97.4,64.26,73,100,3.53,MM,1679164483
330,afonso claudio,-20.0742,-41.1239,78.13,84,55,3.44,BR,1679164484
331,aksarka,66.5606,67.7975,-8.54,98,33,5.55,RU,1679164484
332,presidente epitacio,-21.7633,-52.1156,75.34,86,100,1.59,BR,1679164486
333,berlevag,70.8578,29.0864,28.4,93,100,9.22,NO,1679164487
334,aldan,58.6031,125.3894,28.2,94,100,15.19,RU,1679164218
335,kaseda,31.4167,130.3167,53.89,67,100,13.06,JP,1679164489
336,dakar,14.6937,-17.4441,85.08,86,0,15.46,SN,1679164450
337,balabac,7.9868,117.0645,80.44,81,99,13.69,PH,1679164490
338,uzhur,55.3036,89.8339,27.79,95,45,4.0,RU,1679164490
339,tikrit,34.6071,43.6782,68.56,35,9,10.8,IQ,1679164491
340,san jose,37.3394,-121.895,69.76,50,75,10.36,US,1679164310
341,erenhot,43.6475,111.9767,30.99,18,2,5.73,CN,1679164493
342,lakhdenpokhya,61.5198,30.1992,34.57,82,100,15.17,RU,1679164494
343,trofors,65.5333,13.4063,33.67,97,93,3.78,NO,1679164494
344,sabha,27.0377,14.4283,70.77,22,14,12.26,LY,1679164495
345,chaoyang,41.5703,120.4586,39.61,21,2,4.52,CN,1679164495
346,bremerton,47.5673,-122.6326,61.59,57,0,3.0,US,1679164496
347,champerico,14.3,-91.9167,91.94,62,4,12.24,GT,1679164496
348,tecoanapa,16.5167,-98.75,84.76,57,0,10.98,MX,1679164497
349,rangia,26.4667,91.6333,75.15,57,98,7.38,IN,1679164497
350,bongaree,-27.0797,153.1586,78.22,67,96,6.8,AU,1679164498
351,dunedin,-45.8742,170.5036,53.8,67,5,3.0,NZ,1679164040
352,mayumba,-3.432,10.6554,79.0,83,100,0.38,GA,1679164500
353,northam,51.0333,-4.2167,49.6,96,100,16.28,GB,1679164501
354,behat,30.1667,77.6167,61.14,73,40,5.41,IN,1679164504
355,menongue,-14.6585,17.691,69.62,63,92,5.82,AO,1679164504
356,arica,-18.475,-70.3042,83.75,53,0,16.11,CL,1679164288
357,vila velha,-20.3297,-40.2925,82.35,83,20,10.36,BR,1679164390
358,newport,51.5877,-2.9984,53.06,89,42,9.44,GB,1679164506
359,omsukchan,62.5333,155.8,10.49,93,100,7.94,RU,1679164506
360,narasannapeta,18.4167,84.05,71.13,82,100,6.76,IN,1679164507
361,khash,28.2211,61.2158,62.74,39,5,3.18,IR,1679164507
362,lasa,46.6166,10.7002,52.68,94,54,2.39,IT,1679164509
363,kolosovka,56.4678,73.611,21.47,87,100,19.8,RU,1679164509
364,ilulissat,69.2167,-51.1,23.02,54,75,4.61,GL,1679164511
365,verkh-usugli,52.7,115.1667,14.61,93,16,4.23,RU,1679164512
